,station,value,usage_type,recommendation
1125,lafayette park,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1207,marin light rail,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1558,van vorst park,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1660,w 40 st & 8 ave,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
969,glenwood ave,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
393,astor place,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1097,jersey & 3rd,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1082,jc medical center,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1781,willow ave & 12 st,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
431,bergen ave & sip ave,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1403,riverview park,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1052,hoboken terminal - river st & hudson pl,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
842,e 6 st 2 ave,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
591,church sq park - 5 st & park ave,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
432,bergen ave & stegman st,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1337,pershing field,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1453,south waterfront walkway - sinatra dr & 1 st,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
519,buffalo ave & st johns pl,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1000,grand st & 14 st,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
1232,monmouth and 6th,1,Low Demand,"Consider reducing bikes/docks, promotional incentives, evaluate location"
