,station,value,usage_type,recommendation
1624,w 21 st & 6 ave,20474,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
1757,west st & chambers st,19866,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
504,broadway & w 58 st,17943,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
289,6 ave & w 33 st,16852,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
8,1 ave & e 68 st,16610,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
470,broadway & e 14 st,15731,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
494,broadway & w 25 st,15720,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
1547,university pl & e 14 st,15700,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
472,broadway & e 21 st,15335,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
1640,w 31 st & 7 ave,15030,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
30,12 ave & w 40 st,14588,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
600,cleveland pl & spring st,14535,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
800,e 33 st & 1 ave,14490,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
1758,west st & liberty st,14130,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
290,6 ave & w 34 st,14108,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
24,11 ave & w 41 st,14064,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
1126,lafayette st & e 8 st,13982,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
571,central park s & 6 ave,13878,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
331,8 ave & w 33 st,13754,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
340,9 ave & w 22 st,13565,High Demand,"Increase bike/dock capacity, frequent rebalancing, prioritize maintenance"
